ContractingOfficeCode	fiscal_year	obligatedamount_1year	numberofactions_1year	NumberOfTransactions_1year	NumberOfContracts_1year	numberofactions_7year	obligatedamount_7year	PBSCobligated_7year
OPRLS	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N00281	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NA10A	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
12471G	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4463	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2SA616	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP0570	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15M201	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA7146	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3JA06 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PK604	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
14300	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7C27	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62742	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SG200	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DU203	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W912WJ	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
333173	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FPICO	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2C31	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DFRC0	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2WK510	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A8010	1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00613P	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00069	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36C613	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3SD11 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GN10 	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2UA10A	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
M67861	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4639	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15UGRE	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W912ER	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2WK642	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8625	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0114	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15M600	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N44890	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2BS791	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1ZD74 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5CW43 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00654P	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DEAEL	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GM04 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2SH505	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W912J2	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AC010	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W9133P	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8677	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
128771	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W5K9UR	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47PK08	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1358	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
XAD11	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20020	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20101	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AD21	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
JA705	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MT01 	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
68HE06	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DA25 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47PM01	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GU60 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1291W2	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2RK605	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3FF80 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CA950	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
M00681	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AS700	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2MA10B	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8120	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8734	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1244U9	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
RK510	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NA10E	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8611	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2BH009	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
JA25 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36P258	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
S3319A	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GL20 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15B119	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2TG758	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0245	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0120 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2TN517	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
C2766	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1CA87 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FLOCO	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
82FT	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N61998	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HA94	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W911S2	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36A776	2017	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47QTSB	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36P629	2017	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00554	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
124112	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15JL1B	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
67T0	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8536	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HQ0516	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
51603	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5CW49 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ZA97 	1996	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15B102	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
JN01 	1998	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM930	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N09296	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PK645	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00260	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00565S	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HC1047	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WD40A	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BT63 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM5A2	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP0970	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W9124G	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15M080	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5615	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GD30 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BN403	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
333149	2017	NULL	NULL	NULL	NULL	NULL	NULL	NULL
51806	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00629P	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPE7M2	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15DDWA	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
33A7	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GP05 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19MX53	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15700	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KT000	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NV030	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
128371	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP0200	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19KG10	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W912JY	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
892433	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
RB11E	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00385	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AK328	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8520	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FPSCTL	2015	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W81K02	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19M030	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DEA-SF	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19C020	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2BA729	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47PE10	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N68098	2017	NULL	NULL	NULL	NULL	NULL	NULL	NULL
JA112	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1233GX	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00275	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AC28 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15JA45	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62894	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CA08 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15DDL0	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPE2DX	2015	NULL	NULL	NULL	NULL	NULL	NULL	NULL
003H6	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CH586	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
453100	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2AA4J0	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HA20 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
02623	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36C24E	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
333011	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00521S	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2F274Z	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP0749	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N0463A	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
JA11 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2WF10H	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GR18	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GV67 	1998	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM761	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8677	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DJ000	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
RA13A	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62855	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N00174	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ALDWV	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36C523	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15DDCH	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1HA01 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2RG527	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PK100	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
VICCA	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N00253	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2AA4J0	1989	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AC37 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GU07 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QA12 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CRD01	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
OP&A	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GU42 	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1HC42 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36C504	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2WM507	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N68710	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
203432	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GJ10 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PB610	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CA310	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
70Z040	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NA30D	1996	NULL	NULL	NULL	NULL	NULL	NULL	NULL
123153	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A8106	1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA4885	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
655S	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15F068	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00667P	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
140R34	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CM000	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DU210	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N32253	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA4600	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N3582A	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8708	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM5A9	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
C2742	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
S4503A	2017	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2F9999	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3SD02 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CW000	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IT30	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2QX605	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
EE470	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4M3	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
100000	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GB10 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N00210	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
RB11T	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00140	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FM852	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00255P	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM5E7	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W52P1J	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
95Z000	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
04756	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
03A75	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00358S	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3HU82 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
07D15	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2AT715	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00095	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FD	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2BN117	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00240	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NJ30A	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
000G6	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
333164	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
80HQTR	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47QFEA	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3AC10 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47PJ03	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
S5116A	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00612P	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GE39	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00101	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1204R4	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00504	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
S0507A	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2RB10Z	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62241	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3HU11 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8334	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W91253	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0355	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19PK40	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
UH134	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36P531	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0EODV	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
150M16	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPMWAN	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
121NTB	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8523	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1333NJ	2018	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GU01	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19UV70	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
720112	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3434	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
50907	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HHM402	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1JA16 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NG000	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TALFL	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WA70Z	1996	NULL	NULL	NULL	NULL	NULL	NULL	NULL
951809	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WR210	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2RA11H	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BN53	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1231FH	2017	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3FH04 	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MS029	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BT58 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GU01	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TK617	1998	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TG525	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2PF12B	1988	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WY040	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BECWV	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4550	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00236	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00687	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
S0305A	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1BT64 	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N68306	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CA78 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1ZD86 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
40827	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BL40A	1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8616	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DU209	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A8305	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
75R601	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2JA109	1988	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM475	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1CA38 	1991	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM4AR	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15B106	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WX915	1999	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HA40 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62936	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1HA12 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
04N7	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CA35 	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7399	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP4704	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
RC19A	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N42158	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
F9998	1998	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5CW35 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62470	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GU21 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N00189	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
97000	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15JA44	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8527	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4550	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MSPB	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0200 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LMAQM	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DA20 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
R10CO0	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
66003	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GCAL	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA4418	2002	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3MA07 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CW07 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WA10L	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPE7M5	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3GH40 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N62643	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SPM7L6	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00732S	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5CW68 	1988	NULL	NULL	NULL	NULL	NULL	NULL	NULL
471G	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W90U42	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
01306	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36C534	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4658	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3A75	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N69250	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2WC507	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
N00206	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
569R	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
40303 	1992	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00270	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
000AC	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00291	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W91GFB	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3SB13 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CA64	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
W90U41	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3TA11 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00621	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
00220	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47PC01	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GR04 	1994	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MU300	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3SB02 	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
FA8629	2005	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AA414	1998	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A8114	1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP0905	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MA10F	1999	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SP0441	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CC001	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
121304	2016	NULL	NULL	NULL	NULL	NULL	NULL	NULL
